ID,Question,Answer,Category,Source
1,How can I apply for admission?,"Students seeking admission must first satisfy the eligibility requirements of the concerned programme. They should participate in the prescribed counselling process and obtain a seat through the applicable admission procedure. After selection, the required documents must be verified and the prescribed admission formalities completed. The applicable fees must then be paid within the specified period to confirm admission.",Admissions,Student Handbook 2025-2026
2,What are the admission requirements?,Admission requirements depend on the programme and the applicable admission regulations. Students must satisfy the prescribed academic eligibility conditions before participating in the admission or counselling process. Required documents must be submitted for verification after selection. The exact programme-wise requirements should be checked in the applicable admission notification.,Admissions,Student Handbook 2025-2026
3,What documents are required for admission?,The exact admission documents depend on the applicable admission process and programme. Students should keep their academic and identification documents ready for verification. The required documents must be submitted during the prescribed admission formalities. The current admission notification should be followed for the complete document checklist.,Admissions,Student Handbook 2025-2026
4,When does admission registration start?,Admission registration starts according to the official admission schedule announced for the relevant admission process. Students should register within the prescribed period and complete the required application formalities. The Student Handbook does not provide one universal registration date for all programmes. Students should therefore refer to the current admission notification for the exact date.,Admissions,Student Handbook 2025-2026
5,What is the last date to apply for admission?,The last date for admission application depends on the admission notification applicable to the programme. Students must submit the application within the prescribed deadline. Applications submitted after the closing date may not be considered under the applicable admission procedure. The exact last date should be checked in the current official admission notification.,Admissions,Student Handbook 2025-2026
6,Can I apply for admission online?,"Online admission can be completed when an online application facility is provided for the relevant admission process. Students should use the prescribed admission portal and enter the required information correctly. After submitting the application, they should complete any required document verification and admission formalities. The availability of online application depends on the current admission notification.",Admissions,Student Handbook 2025-2026
7,How can I check my admission status?,"Students can check their admission status through the prescribed admission portal or the designated admission office. The application or admission details should be checked using the required student or application credentials. If the status is not updated, the student should contact the admission office. The Student Handbook does not specify one common admission-status portal for every programme.",Admissions,Student Handbook 2025-2026
8,How can I pay semester fees?,"Students can pay fees through CAMPS by logging in and selecting Student, followed by Fees and Fee Payment. The payment gateway can be used for payment through net banking. Fees can also be paid through NEFT or RTGS using the Student Virtual Account details provided in the Demand Notice. Students should retain the transaction or payment confirmation for future reference.",Fees,Student Handbook 2025-2026
9,Can I pay fees using net banking?,"Yes, the Student Handbook provides payment through the CAMPS payment gateway using net banking. Students should log in to CAMPS and select Student, then Fees, and then Fee Payment. The payment should be completed through the prescribed gateway. Students should keep the payment confirmation or transaction details after successful payment.",Fees,Student Handbook 2025-2026
10,Can I pay fees using UPI?,"The Student Handbook specifically describes fee payment through the CAMPS payment gateway using net banking and through NEFT or RTGS using the Student Virtual Account. It does not specifically state that UPI is an approved fee-payment method. Therefore, UPI should not be treated as a confirmed handbook-supported payment method unless the current payment portal provides it.",Fees,Student Handbook 2025-2026
11,When should hostel biometric attendance be registered?,Hostel students must register their biometric attendance every day between 7:00 PM and 8:15 PM. Biometric registration is mandatory for hostel residents. Failure to register within the prescribed period may result in attendance and mail facilities being blocked. The handbook also states that a message may be sent to the respective parent in such cases.,Hostel,Student Handbook 2025-2026
12,What happens if I miss hostel biometric attendance?,"If a hostel student misses the prescribed biometric attendance period, attendance and mail facilities may be blocked. The handbook states that a message may also be sent to the respective parent. To unblock the mail facility, the student must approach the Hostel Manager through the respective in-charges. Biometric-related issues should be reported on the same day.",Hostel,Student Handbook 2025-2026
13,How can I apply for hostel leave?,Students who want to go home must obtain prior approval from their mentor through CAMPS. Emergency leave requires approval from the respective Deputy Warden. General Permission and Sick Leave are also handled through the prescribed hostel procedure. Students must also register their OUT and IN movements at the main hostel gates when leaving or returning.,Hostel,Student Handbook 2025-2026
14,What are the library timings?,"The Learning Centre is open from 8:30 AM to 9:00 PM on weekdays. On Sundays, it is open from 8:30 AM to 5:00 PM. The library provides access to books, journals, digital resources and other learning facilities. Students must follow the library rules while using the Learning Centre.",Library,Student Handbook 2025-2026
15,How many books can I borrow?,"UG students, PG students and research scholars can borrow up to six books from the Learning Centre. The normal borrowing period for these students is 14 days. The library uses an RFID-based Library Management System for circulation and tracking. Students must return or renew books according to the applicable library rules.",Library,Student Handbook 2025-2026
